Method,Model,Accuracy,Precision,Recall,F1-score,AUC
Baseline,Logistic Regression,0.95,1.0,0.0625,0.11764705882352941,0.777068661971831
Baseline,Decision Tree,0.9366666666666666,0.4,0.375,0.3870967741935484,0.6716549295774649
SMOTE,Logistic Regression,0.7533333333333333,0.1375,0.6875,0.22916666666666666,0.7691461267605634
SMOTE,Decision Tree,0.9,0.28125,0.5625,0.375,0.7407570422535211
Cost-sensitive,Logistic Regression,0.76,0.13157894736842105,0.625,0.21739130434782608,0.7759683098591549
Cost-sensitive,Decision Tree,0.9233333333333333,0.29411764705882354,0.3125,0.30303030303030304,0.6351232394366197
Balanced Bagging,Logistic Regression,0.7633333333333333,0.1518987341772152,0.75,0.25263157894736843,0.7810299295774648
Balanced Bagging,Decision Tree,0.8933333333333333,0.2777777777777778,0.625,0.38461538461538464,0.8538732394366197
